tract,Name,TBR Black,TBR Asian,TBR Hispanic,TBR White
24510040200,"Downtown, Baltimore, MD",0.7332,0,0,0
24005421101,"Baltimore, MD",0.7195,0,0,0.1409
24510200500,"Mill Hill, Baltimore, MD",0.702,0,0,0.3339
24510280500,"Pleasant View Gardens, Baltimore, MD",0.677,0,0,0
24510120600,"Old Goucher, Baltimore, MD",0.6714,0,0,0
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.6604,0,0,0.4587
24510030200,"Little Italy, Baltimore, MD",0.6603,0,0,0.0845
24510250204,"Cherry Hill, Baltimore, MD",0.6602,0,0,0
24510260604,"O'Donnell Heights, Baltimore, MD",0.6577,0,0,0.3068
24510030100,"Perkins Homes, Baltimore, MD",0.6469,0,0,0
24510040100,"Downtown, Baltimore, MD",0.6381,0,0,0
24510120400,"Barclay, Baltimore, MD",0.6377,0,0,0
24510170200,"McCulloh Homes, Baltimore, MD",0.6306,0,0,0
24510200100,"Lexington, Baltimore, MD",0.6232,0,0,0
24510190300,"Mount Clare, Baltimore, MD",0.6215,0,0,0.3356
24510100200,"Baltimore, MD",0.6215,0,0,0
24510090900,"Oliver, Baltimore, MD",0.6211,0,0,0
24510261000,"Patterson Park, Baltimore, MD",0.6192,0,0,0.2617
24510200400,"Shipley Hill, Baltimore, MD",0.617,0,0,0
24510060300,"Butchers Hill, Baltimore, MD",0.6164,0,0,0.1642
24510060100,"Patterson Park, Baltimore, MD",0.6164,0,0.2397,0.339
24510210200,"Pigtown, Baltimore, MD",0.61,0,0,0.4779
24510271802,"Langston Hughes, Baltimore, MD",0.6098,0,0,0
24510060200,"Baltimore, MD",0.6012,0,0,0.2603
24510080600,"Broadway East, Baltimore, MD",0.5988,0,0,0
24510080200,"Broadway East, Baltimore, MD",0.5977,0,0,0
24510260404,"Baltimore Highlands, Baltimore, MD",0.5976,0,0,0.2546
24510020200,"Upper Fells Point, Baltimore, MD",0.5952,0,0.3457,0.2498
24510080800,"Broadway East, Baltimore, MD",0.5894,0,0,0
24510170300,"Upton, Baltimore, MD",0.5866,0,0,0
24510110200,"Downtown, Baltimore, MD",0.5864,0,0,0.0002
24005450501,"Essex, MD",0.5863,0,0,0.2116
24510080500,"Darley Park, Baltimore, MD",0.586,0,0,0
24510010200,"Patterson Park, Baltimore, MD",0.5859,0,0,0.2086
24510140100,"Bolton Hill, Baltimore, MD",0.5853,0,0,0.0326
24005420900,"Dundalk, MD",0.5837,0,0,0.1446
24510150500,"Burleith-Leighton, Baltimore, MD",0.5824,0,0,0
24510260605,"Medford - Broening, Baltimore, MD",0.5794,0,0,0.2447
24510250301,"Westport, Baltimore, MD",0.5786,0,0,0.3521
24510150100,"Sandtown-Winchester, Baltimore, MD",0.5773,0,0,0
24510070400,"Gay Street, Baltimore, MD",0.5758,0,0,0
24510130300,"Penn North, Baltimore, MD",0.5758,0,0,0
24510160300,"Sandtown-Winchester, Baltimore, MD",0.5714,0,0,0
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.5709,0,0,0
24510120300,"Harwood, Baltimore, MD",0.5663,0,0,0
24510090400,"Better Waverly, Baltimore, MD",0.5661,0,0,0
24510080700,"Broadway East, Baltimore, MD",0.5658,0,0,0
24510160100,"Harlem Park, Baltimore, MD",0.5641,0,0,0
24510140200,"Upton, Baltimore, MD",0.563,0,0,0
24510271001,"Baltimore, MD",0.5622,0,0,0
24510160600,"Mosher, Baltimore, MD",0.5587,0,0,0
24510080102,"Belair - Edison, Baltimore, MD",0.558,0,0,0
24510150200,"Sandtown-Winchester, Baltimore, MD",0.5571,0,0,0
24510080301,"Berea, Baltimore, MD",0.5547,0,0,0
24510070300,"Milton - Montford, Baltimore, MD",0.5539,0,0,0
24510250402,"Brooklyn, Baltimore, MD",0.5528,0,0,0.2685
24510080400,"Broadway East, Baltimore, MD",0.5513,0,0,0
24510100100,"Johnson Square, Baltimore, MD",0.5507,0,0,0
24510070200,"Madison - Eastend, Baltimore, MD",0.5506,0,0,0.4688
24510080302,"Berea, Baltimore, MD",0.55,0,0,0
24005400900,"Catonsville, MD",0.5476,0,0,0.0325
24510090800,"East Baltimore Midway, Baltimore, MD",0.5475,0,0,0
24510190100,"Franklin Square, Baltimore, MD",0.5458,0,0,0
24510160400,"Midtown Edmondson, Baltimore, MD",0.5449,0,0,0
24510260303,"Claremont - Freedom, Baltimore, MD",0.5443,0,0,0.2275
