tract,Name,TBR Black,TBR Asian,TBR Hispanic,TBR White
34013006800,"Ironbound District, Newark, NJ",0.9035,0,0.4195,0.1866
34017004700,"Jersey City, NJ",0.6466,0,0.1794,0
34013003900,"Springfield/Belmont, Newark, NJ",0.6327,0,0,0
34013003700,"West Side, Newark, NJ",0.626,0,0,0
34017010400,"Bayonne, NJ",0.6118,0,0.163,0.0759
34017001701,"West Side, Jersey City, NJ",0.6047,0.03,0.3463,0
34039030400,"Elizabeth, NJ",0.5985,0,0.3195,0.1853
34039039800,"Elizabeth, NJ",0.5962,0,0.354,0.1436
34031175703,"Passaic, NJ",0.595,0.0749,0.2913,0.0006
34013007502,"North Ironbound, Newark, NJ",0.5923,0,0.2022,0.2322
36085012500,"Richmond County, NY",0.5776,#N/A,#N/A,#N/A
34013009200,"Mount Pleasant/Lower Broadway, Newark, NJ",0.5696,0,0.3654,0
34031181400,"Paterson, NJ",0.5692,0,0.3666,0
34013009600,"North Broadway, Newark, NJ",0.5671,0,0.3636,0
34013009700,"North Broadway, Newark, NJ",0.5627,0,0.3776,0
34013004300,"Upper Clinton Hill, Newark, NJ",0.5567,0,0,0
34013001600,"Fairmount, Newark, NJ",0.5551,0,0,0
36085024700,"Richmond County, NY",0.5481,#N/A,#N/A,#N/A
34013001800,"Fairmount, Newark, NJ",0.5476,0,0,0
34013004802,"Dayton/Weequahic Park, Newark, NJ",0.5457,0,0.1953,0
34031182100,"Paterson, NJ",0.5421,0,0.3532,0.2358
34013006200,"Springfield/Belmont, Newark, NJ",0.5414,0,0,0
34017006100,"Greenville, Jersey City, NJ",0.5362,0.1117,0.2067,0.1331
34013001400,"Fairmount, Newark, NJ",0.5352,0,0,0
34017001800,"Journal Square, Jersey City, NJ",0.5329,0.0098,0.3545,0.0404
34013023200,"South Broad Street, Newark, NJ",0.532,0,0.3916,0
34013008200,"University Heights, Newark, NJ",0.5304,0,0,0
34039030200,"Elizabeth, NJ",0.5287,0,0.3915,0
34013022800,"Springfield/Belmont, Newark, NJ",0.5285,0,0,0
34013002600,"West Side, Newark, NJ",0.5277,0,0,0
34031181702,"Paterson, NJ",0.5204,0,0.5051,0
34031180900,"Paterson, NJ",0.5179,0,0.397,0.1225
34039031000,"Elizabeth, NJ",0.5167,0,0.4315,0.0231
36085013302,"Richmond County, NY",0.5161,#N/A,#N/A,#N/A
34031180700,"Paterson, NJ",0.5159,0,0.4362,0
34031181500,"Paterson, NJ",0.5105,0,0.3173,0
34013000300,"Upper Roseville, Newark, NJ",0.5095,0,0.2172,0
34013004400,"Weequahic, Newark, NJ",0.5072,0,0,0
34013004200,"Upper Clinton Hill, Newark, NJ",0.507,0,0,0
34013022700,"South Broad Street, Newark, NJ",0.5054,0,0.3674,0
34039030500,"Elizabeth, NJ",0.5018,0,0.2629,0.0191
